openpagerank,openpagescore
93033596,2
0,0
0,0
9071132,3
0,0
0,0
0,0
373005205,0
0,0
0,0
0,0
0,0
796917,4
11812560,3
15357881,3
796917,4
0,0
0,0
73900374,2
4984835,3
0,0
0,0
0,0
17759068,3
0,0
55392021,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7927813,3
35337308,2
0,0
0,0
796917,4
0,0
9419522,3
0,0
9685874,3
0,0
0,0
324478057,0
2981622,4
373253655,0
20558261,3
0,0
53240497,2
192212024,1
1845660,4
796917,4
0,0
11922642,3
9071132,3
902085,4
62924171,2
0,0
902085,4
0,0
7958221,3
0,0
1221328,4
372312758,0
0,0
0,0
103880820,2
24907321,2
796917,4
0,0
4836489,3
0,0
175718120,1
0,0
0,0
0,0
0,0
0,0
796917,4
0,0
51479036,2
0,0
0,0
798486,4
796917,4
0,0
9071132,3
0,0
0,0
0,0
371181964,0
47760876,2
132576331,1
0,0
98518786,2
2451911,4
0,0
796917,4
1255146,4
902085,4
0,0
0,0
0,0
0,0
0,0
0,0
246151,5
0,0
0,0
369847797,0
0,0
0,0
0,0
212189111,0
60021608,2
0,0
3,10
0,0
0,0
6324646,3
0,0
0,0
0,0
16949,5
344169307,0
0,0
68967812,2
0,0
77779,5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
10209159,3
0,0
0,0
0,0
902085,4
0,0
367232361,0
796917,4
0,0
2451911,4
0,0
3325317,4
0,0
0,0
0,0
197624081,0
0,0
0,0
0,0
60086917,2
0,0
0,0
153529660,1
16505148,3
0,0
24907321,2
0,0
0,0
0,0
152482952,1
0,0
0,0
0,0
0,0
0,0
796917,4
79476293,2
0,0
0,0
0,0
0,0
10780774,3
0,0
0,0
48089894,2
15435560,3
9071132,3
0,0
15357881,3
60711531,2
109174355,1
0,0
69310391,2
0,0
0,0
0,0
857442,4
67553733,2
0,0
0,0
0,0
902085,4
796917,4
0,0
0,0
0,0
0,0
0,0
209534697,0
32259125,2
63136199,2
0,0
119586358,1
0,0
9808,6
0,0
0,0
902085,4
59106041,2
25117658,2
52017080,2
3,10
35887576,2
0,0
0,0
0,0
796917,4
0,0
0,0
0,0
4533969,3
0,0
0,0
0,0
0,0
0,0
4984835,3
372865075,0
748,6
18940516,3
0,0
0,0
0,0
748,6
0,0
0,0
102927707,2
55603189,2
1123129,4
0,0
8915151,3
0,0
0,0
0,0
796917,4
0,0
6937787,3
0,0
16949,5
2451911,4
16949,5
3588251,4
2849809,4
27947059,2
9071132,3
0,0
64155,5
0,0
202264639,0
4902,6
68896588,2
796917,4
0,0
0,0
58353,5
184,7
0,0
0,0
0,0
0,0
131670575,1
0,0
105169486,2
0,0
141259460,1
0,0
9071132,3
9071132,3
0,0
9071132,3
0,0
0,0
49281551,2
371368854,0
0,0
0,0
15301822,3
72074859,2
0,0
0,0
902085,4
9071132,3
22221133,2
0,0
0,0
172657277,1
140264388,1
162189572,1
91580231,2
0,0
0,0
0,0
153364038,1
0,0
796917,4
902085,4
22646471,2
9071132,3
748,6
0,0
53106867,2
16505148,3
0,0
0,0
0,0
0,0
6877689,3
0,0
0,0
0,0
12706383,3
0,0
902085,4
69725296,2
902085,4
620336,4
2984437,4
0,0
