openpagerank,openpagescore
1457185,4
4212,6
11112937,3
8990,6
146131,5
874,6
31258,5
4259015,3
9568,6
108644,5
2411,6
1270477,4
3911112,4
1456165,4
23605,5
43289,5
67636,5
0,0
3136279,4
1290871,4
72130,5
97495,5
11494,5
452552,4
1002447,4
163,7
29008,5
113772850,1
4197,6
1914594,4
15251,5
11128,5
34099,5
3,10
8664167,3
4,10
11909,5
369,7
19661364,3
10004,6
4888,6
12144,5
218073,5
13134,5
343906,5
35122,5
29742,5
3,10
15839,5
19672111,3
0,0
10108,6
3958016,4
1732694,4
767,6
25797293,2
1703835,4
19390,5
1120582,4
1403648,4
2663282,4
5347099,3
186694,5
1964385,4
631,6
1198626,4
10884541,3
2895092,4
16410,5
2850253,4
33545,5
1747,6
4,10
3087190,4
130421,5
530,6
11606,5
2539666,4
100483,5
13857,5
185554,5
19659980,3
192,7
8,10
29738,5
75,8
527,6
24901309,2
121863,5
3140133,4
12144,5
9304,6
4,10
10224,6
1429741,4
19431,5
31985424,2
9036,6
527,6
3268485,4
735,6
92219,5
21254962,3
48068,5
855633,4
8986,6
7639211,3
941,6
2368782,4
16594,5
222960,5
57,8
1122922,4
13857,5
76306,5
10955,5
530,6
5851241,3
13259,5
20384,5
62552,5
5175161,3
24459,5
2436749,4
4829164,3
343804,5
4744965,3
425,7
15800,5
15870932,3
1,10
23225,5
21630889,3
592,6
13330,5
19647,5
74637649,2
35827,5
205,7
111181,5
67841636,2
899,6
834,6
4437132,3
1872634,4
28054,5
160020,5
82870,5
36295,5
2278980,4
1262636,4
48061,5
25722097,2
10188,6
103974,5
428233,5
18312,5
1164122,4
47894,5
69988,5
36027835,2
527,6
6519582,3
52104,5
113,7
59038763,2
5,10
2640517,4
80,8
13048,5
38387,5
368657003,0
31334,5
156,7
220845,5
13003,5
15069155,3
11070,5
1513602,4
832954,4
10085,6
620336,4
413,7
3599542,4
528,6
47942,5
18927,5
275923,5
848,6
50,8
865047,4
4551,6
181,7
0,0
13257,5
335,7
24705,5
12764,5
19715,5
2624146,4
113,7
194351,5
17025,5
20125943,3
252371,5
70052,5
1511188,4
50295,5
17695,5
1881,6
113,7
376580274,0
166,7
11430,5
1191609,4
1838706,4
13156,5
1414,6
58280,5
19577,5
9782144,3
5138105,3
157385,5
527,6
46352,5
20854,5
732,6
232186,5
297,7
24705,5
14510,5
42190,5
0,0
24536746,2
69997,5
76547,5
14810,5
512,7
4709,6
716,6
7408151,3
2607870,4
1406103,4
13156,5
19854,5
18545726,3
19790,5
342,7
3841946,4
34947158,2
5188,6
615812,4
11838790,3
14661,5
46759874,2
198167,5
17384230,3
121,7
407047,5
24946,5
595,6
95036095,2
474,7
20172,5
3745584,4
9147902,3
617972,4
25465306,2
899,6
209,7
848,6
1845405,4
6335273,3
10315,6
10668177,3
2753882,4
27185,5
116716,5
18959919,3
19678,5
250574,5
118066,5
1623,6
322,7
850979,4
1157706,4
1875465,4
1352162,4
344,7
407197,5
21170275,3
8,10
4,10
63230,5
204,7
74363,5
527,6
482723,4
4437132,3
16010,5
2472,6
51839,5
439,7
2784602,4
527,6
16675,5
95720,5
366,7
44608,5
99277,5
4888,6
40055990,2
3301991,4
16331,5
2279033,4
176659,5
218038,5
1381831,4
364,7
1840406,4
52610150,2
35727,5
657,6
1219,6
6614161,3
4888,6
124025,5
68427931,2
235,7
1666434,4
27896,5
9166,6
2650,6
2041,6
421980,5
863356,4
15589034,3
1354748,4
13817,5
13896809,3
11346,5
97289,5
14810,5
4,10
0,0
3095439,4
16213821,3
10913,5
49373284,2
22561,5
181,7
343906,5
9952,6
4399,6
527,6
9053320,3
5176036,3
39641,5
476,7
80,8
357099,5
17731811,3
34584,5
1738,6
32447,5
27630,5
50,8
129177,5
1718,6
1876278,4
2082,6
25,9
200,7
4899,6
25,9
2023,6
129720,5
27898813,2
6152650,3
429805,5
28054,5
31211,5
4888,6
2197609,4
32579,5
10885,6
1425652,4
10003,6
79181,5
56590339,2
4333033,3
1355010,4
232186,5
111708,5
2145507,4
8,10
1214,6
60535941,2
50,8
227729,5
31777068,2
527,6
10091,6
1195210,4
45883,5
1381952,4
4888,6
1233992,4
1201763,4
13015,5
4,10
2358362,4
133,7
28419,5
2203104,4
4212,6
55,8
732,6
11118,5
58976,5
55673,5
66478,5
20296,5
21940689,3
11423,5
2676645,4
91247510,2
159440,5
23078,5
163809080,1
1220269,4
4553,6
4280517,3
162101,5
1461,6
16880,5
18296,5
1131286,4
831958,4
9244,6
36014,5
527,6
42832,5
52610150,2
1885,6
527,6
4,10
1543,6
350365,5
11514,5
14718807,3
74254,5
43232,5
527,6
1508900,4
1356360,4
71607284,2
68339,5
129981,5
527,6
1708461,4
28,8
17189,5
1,10
4352,6
527,6
72099,5
11669402,3
15224,5
93694,5
131765,5
2806825,4
3275763,4
88358,5
193002,5
120302,5
40094,5
74270,5
5175,6
4768,6
1804105,4
134712,5
56982545,2
1177186,4
4190581,3
1985650,4
518565,4
1003113,4
37266,5
39678,5
10852633,3
217033,5
1091,6
126194,5
29176,5
28235,5
125,7
207,7
3290844,4
9048093,3
12138265,3
899,6
24522,5
7934413,3
58013695,2
90,7
14980,5
10164968,3
86052,5
1764,6
4558,6
3142744,4
64290,5
811581,4
4,10
34363346,2
791328,4
9670,6
158,7
4270,6
15643426,3
8,10
527,6
34860712,2
22351773,2
4797,6
16156698,3
14810,5
6151258,3
9939756,3
1210405,4
8531691,3
248601,5
632,6
4304,6
413,7
394662,5
227729,5
4640,6
5152775,3
35185,5
153342,5
1,10
12401377,3
2961999,4
1457,6
76425,5
3,10
1180922,4
978,6
29884,5
11807,5
19815504,3
16286,5
381,7
31947,5
58174165,2
13327617,3
1776,6
72765437,2
527,6
1746795,4
13857,5
28,8
15800,5
455497,4
826,6
166,7
35175,5
383984,5
73287,5
4244,6
68526376,2
5,10
146908,5
348,7
28467,5
429,7
9834,6
16627,5
11494,5
4583,6
252010,5
9061,6
2219137,4
45,8
18978,5
200,7
90,7
23713,5
6599921,3
28,8
69867,5
13858366,3
25376179,2
13801,5
1835,6
29001,5
1797487,4
80,8
15378,5
32540297,2
50,8
45521,5
1141031,4
345,7
155952,5
11005,5
1242680,4
2781781,4
7009158,3
9902,6
2944827,4
122239,5
527,6
92537606,2
8,10
324,7
513774,4
1414210,4
15672,5
72388029,2
1047,6
243,7
170839,5
109383188,1
26109,5
10224,6
3,10
0,0
38789,5
79457,5
6610422,3
232186,5
377,7
5369137,3
10091,6
3,10
10823,6
12056,5
233196,5
191111,5
12144,5
15,9
55673,5
12022,5
2297542,4
181,7
262529,5
1980556,4
1883943,4
31658,5
66,8
867091,4
6945467,3
161784,5
527,6
18166,5
36857,5
209,7
24225233,2
464,7
527,6
3962071,4
194822,5
373717835,0
715,6
1428738,4
1424673,4
12073613,3
2583327,4
5332444,3
3512611,4
1385,6
5046584,3
6611335,3
15701089,3
14810,5
71779,5
21060558,3
159198,5
3,10
70790486,2
1530046,4
1381,6
344,7
177603,5
1163289,4
29118,5
125239,5
128415,5
9636,6
209,7
1176009,4
254171,5
853,6
134032,5
366,7
31002,5
3,10
127363471,1
12144,5
85411,5
456785,4
0,0
4888,6
417896,5
13206,5
12144,5
2023,6
1,10
2354768,4
4347720,3
157639552,1
3337150,4
79332,5
11961,5
61838765,2
81805,5
93413,5
1533617,4
4187,6
563512,4
64252,5
0,0
807222,4
11075,5
16534948,3
4888,6
7324280,3
4,10
24480,5
36093,5
58628715,2
126,7
175700,5
4849504,3
664,6
46473,5
27092,5
38,8
3588509,4
250900,5
10677,6
12019,5
188977,5
128902,5
848427,4
751,6
2774590,4
814150,4
12235,5
4888,6
4145248,3
1660370,4
7108142,3
530,6
202,7
2864,6
119712,5
14163,5
9669996,3
0,0
16719,5
527,6
182589,5
22684,5
13934,5
33733253,2
1385332,4
50,8
20312,5
1997699,4
1407866,4
0,0
21445767,3
6783272,3
1972000,4
12144,5
22766,5
30247,5
35502,5
82,8
62282825,2
9295,6
969,6
2700,6
1210394,4
10224,6
278837,5
48280953,2
1143636,4
6296378,3
1211381,4
19017430,3
2449827,4
2962433,4
23225,5
1694165,4
54353,5
223,7
3,10
25622,5
87,8
10658,6
841131,4
20088,5
38198,5
1746795,4
4786,6
485001,4
15,9
12668,5
1173270,4
9362,6
527,6
8513247,3
25110,5
0,0
2990221,4
15234,5
201728373,0
18905,5
364,7
13259,5
4888,6
539187,4
372383,5
53783129,2
113,7
1446401,4
7248156,3
15404666,3
101011117,2
23211,5
56681,5
13259,5
