url,website,phishing
http://connectavet.com/xe/index.php,1613576619756676.html,1
https://didifiw.top/,1624732303897674.html,1
https://www.invitegroupwhatsapp-berbagivideoseru.onedumb.com/,1608739524416246.html,1
https://myverfy-googol-geuundfe.000webhostapp.com/,1608320844362966.html,1
https://chat.whatsapp.com.join78.ml/,1613576226103078.html,1
https://www1.snnbc.carucd.com/,10003302.html,1
http://185.153.180.25/hot/a.htm,1621740917863544.html,1
http://blackbelttv.sexxyfemaledolls.com/UPLOADS/BAM/raiffcz/f892c20729474214152cc4acaf08fa39,1608321815439151.html,1
http://mobiilelegind.xyz/,1608996754194244.html,1
http://anrtther12r.live/folder%20/amazknc/amazknc/amazknc/mazon/3de72/homepage/,1625240027289271.html,1
https://m.runescape.com-fe.ru/,1619637821957373.html,1
https://grosirbasarta.com/login/,10003121.html,1
http://whatsappgroupinvitejoinowgrupfreejoin.duckdns.org/,1626924199626522.html,1
http://wildcard.d-tv.tv/Apple.Login/index.html,1609080905481024.html,1
https://543111.selcdn.ru/office/index4.html?email=aqsdk@mk.nl,1626367156412498.html,1
http://www.joingrup-wavirals.duckdns.org/,1626535334540952.html,1
https://zipcp.com/,1613575841090491.html,1
http://halifax.validate-device-security.com/Login.php,1608140337303172.html,1
http://ce-tech.info/Onlinebanking%20and%20Brokerage%20Deutsche%20Bank.html,1613572608632487.html,1
https://irvnpagl.yolasite.com/,1620673616752003.html,1
http://papumdg.com.br/proteger/kompte/paypal.fr/8d9e35adcea4febcc5fb1ed8de8b70e5/erreur.htm?cmd=_error_login-run&amp;dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af436580c63a156ebffe89e7779ac84ebf634880c63a156ebffe89e7779ac84ebf6348,1613572932656725.html,1
https://rileytrnpikesuite.xyz/FBG/,1607800038911242.html,1
https://bamericaonline.com/travel.html,1607438631947677.html,1
http://bnnacionalyw.atwebpages.com/bnac/adfs/ls19c5.html?B,10001066.html,1
https://www.m.pservllces.runescape.com-m.ru/,1622723480599932.html,1
http://alexiscaputo.com/wp-content/plugins/bbpress/1/Ourtime/ourtime.php,1613575964465253.html,1
http://kso-bw-bank.roeders-tec.eu/bw/Secure.html,10001043.html,1
http://bnppreserves.com/,1608230072837928.html,1
http://kafichanta.doublepaws.org/EN/CEjLYB7djJMVur2TsTb3GSSI0uVyalCM/SignIn.php,1625761874333366.html,1
https://babelasui.com/StandrdBank/online.standardbank.co.za/,1613574618325143.html,1
http://www.sbopedorodhjb.com/mazon/amazon/,1625326601401327.html,1
https://www.facebook.com.triumphhomes.co.uk/?_fb_noscript=1,1613575139769788.html,1
https://shafiqtv.com/irii/banks/SCO/confirm.html,1607182695418924.html,1
http://51jianli.cn/images/?us.battle.net/login/en?ref=xyvrmzdus.battle.net/d3/en/index,1613576473082381.html,1
http://www3.funcate.org.br/juntos/b1/index1.php,1608573384371744.html,1
http://ni212065-1.web02.nitrado.hosting/,1609170778043335.html,1
"https://secure.runascape.com-vz.ru/m=weblogin/loginform672,117,139,68747695,2167",1607438396413537.html,1
http://www.recoveryalert.yahoo.com.diginik.net/login.html,1613573969602348.html,1
http://www.pemersatu-bangsa-18plus.duckdns.org/,1625542445695924.html,1
https://anonom.co.ip.lerfvkq.asia/pc/,1624980795729591.html,1
https://thecloneworld.in/service-n26-banque/n26_fr-m3tri-withcurlnoantibots/n26_fr-m3tri/Error.php?MzQuMjM3LjExMy4xMTMyMDIxOkp1bDpUdWU=,1625556622352057.html,1
http://www.sirdarnell.org/host/member/made-in-chin-new%20dd/,1613573496495006.html,1
http://capitaltours.ru/plugins/editors/tinymce/jscripts/tiny_mce/plugins/print/langs/privacy/configuracion.php?real=ca10z5a9futed6p&iron=became&cannot=anyone,1608130217018995.html,1
https://allegrolokalnie.app/oferta/sapphire-nitro-radeon-rx-vega-64-8gb-hbm2-kty,1626424343274338.html,1
https://alburjrealestate.com/chris/daum/daaum/login.php?cmd=login_submit&amp;id=2568c1c0d5ef36f75d7b4b8ee62c11472568c1c0d5ef36f75d7b4b8ee62c1147&amp;session=2568c1c0d5ef36f75d7b4b8ee62c11472568c1c0d5ef36f75d7b4b8ee62c1147,1608996987967779.html,1
http://www.skyline-china.com/wp-includes/css/xwells/https.wellsfargo.com.home/wells-fargo-security-update/login.php?cmd=login_submit&amp;id=d1a4ddd558c4d3ca32aaea04d18a0865d1a4ddd558c4d3ca32aaea04d18a0865&amp;session=d1a4ddd558c4d3ca32aaea04d18a0865d1a4ddd558c4d3ca32aaea04d18a0865,1613575485323749.html,1
http://paypalsecur5e.hopto.org/,1607967600549793.html,1
http://srinivaskasojufoundation.com/wp-content/plugins/well/48652650653265_56562365325652552/Sign_On/,1613574572060437.html,1
http://stephensmusic.com/daum.html,1626886827093843.html,1
https://anmazoonweb.xyz/pc/,1607969359199852.html,1
https://3-143-224-199.cprapid.com/DPDnotices/,1625150178329266.html,1
https://drcorreamejoresimplantes.com/wave/tkYMxte19njQAJF0roKb6TP0vjxtkUjNeizMLONVc7LMRrNiQxuWrjXWDvpXpJLD2lpOadJmkv9/,1613576195956265.html,1
http://restaurantenaialanzarote.com/02738920/.edu/,162472868912713.html,1
http://whatsapgrubid.duckdns.org/,1619464609761258.html,1
http://assistancemailorangevoice.ulanding.me/,1626363755140328.html,1
http://labanqupostale.fr.meltosagnapja.hu/34713/,1624678795347316.html,1
https://hipote6986.000webhostapp.com/,1626969409369605.html,1
https://pxofdssdawppkwdcpnpcbrfznm-dot-gleow23456788988878.ts.r.appspot.com/,1607182708965481.html,1
http://vergaralandscaping.com/download/,1613575276177616.html,1
https://anazom.bcdkhh.bar/,1627133425398084.html,1
