openpagerank,openpagescore
3,10
0,0
19401872,3
70,8
0,0
20352551,3
5923345,3
7958221,3
0,0
4315097,3
33093717,2
2729058,4
837859,4
33093717,2
5177536,3
3,10
12706383,3
7008238,3
2729058,4
16949,5
7008238,3
2019363,4
3,10
20352551,3
7008238,3
21457,5
3,10
4953289,3
2729058,4
6352468,3
2729058,4
1352522,4
748,6
819014,4
21457,5
0,0
21457,5
20352551,3
65,8
3,10
1221328,4
13861411,3
0,0
0,0
18675568,3
33093717,2
59660,5
21457,5
851058,4
12706383,3
7008238,3
3,10
851058,4
851058,4
1221328,4
23745,5
149745,5
21457,5
12706383,3
2451911,4
33093717,2
74800201,2
748,6
67535372,2
12706383,3
4984835,3
65,8
16949,5
12706383,3
2729058,4
7008238,3
0,0
11207729,3
20352551,3
60021626,2
21457,5
851058,4
748,6
21712057,3
21457,5
3,10
0,0
0,0
10442,6
35,8
371166579,0
1221328,4
12706383,3
16949,5
4953289,3
851058,4
20352551,3
3,10
12706383,3
210623394,0
7008238,3
65,8
12706383,3
65,8
12706383,3
12706383,3
20352551,3
33093717,2
14840392,3
4953289,3
851058,4
4315097,3
0,0
851058,4
21457,5
234,7
21457,5
111848884,1
21457,5
33093717,2
21457,5
21457,5
7008238,3
21457,5
59359446,2
0,0
1221328,4
12706383,3
7008238,3
851058,4
7008238,3
7008238,3
2451911,4
851058,4
748,6
149745,5
1221328,4
2756,6
21457,5
21457,5
0,0
7008238,3
60021626,2
3,10
16949,5
20352551,3
20352551,3
21457,5
70,8
23745,5
0,0
7008238,3
21457,5
7008238,3
798486,4
3,10
21457,5
2729058,4
2729058,4
21712057,3
187141,5
160763242,1
68758195,2
3,10
59359446,2
4953289,3
2451911,4
2729058,4
21840010,3
33093717,2
21457,5
7008238,3
1221328,4
4882,6
93906,5
4953289,3
1221328,4
2729058,4
165498589,1
2729058,4
24,9
2729058,4
20352551,3
12706383,3
1221328,4
33093717,2
14544,5
0,0
3,10
798486,4
2729058,4
2451911,4
2451911,4
7008238,3
1138506,4
2729058,4
10442,6
10442,6
3,10
33093717,2
798486,4
4953289,3
33093717,2
149745,5
7204228,3
3,10
748,6
2729058,4
11204234,3
70,8
3,10
7008238,3
0,0
12706383,3
23745,5
2729058,4
3,10
70,8
23745,5
4984835,3
2190442,4
33093717,2
55,8
65,8
2729058,4
20352551,3
7008238,3
149745,5
3,10
7008238,3
3,10
3820547,4
2729058,4
7008238,3
2729058,4
20352551,3
35427209,2
33093717,2
9144,6
12706383,3
3,10
7008238,3
2729058,4
837193,4
1753035,4
7204228,3
1497007,4
3,10
7008238,3
68266825,2
51753,5
748,6
3,10
221,7
2729058,4
0,0
20352551,3
20352551,3
187141,5
20352551,3
70,8
851058,4
3,10
33093717,2
10442,6
33093717,2
3638287,4
21457,5
3,10
20352551,3
0,0
2451911,4
187141,5
1221328,4
7008238,3
60021626,2
2451911,4
7008238,3
149745,5
851058,4
20352551,3
7008238,3
21457,5
0,0
748,6
21457,5
12706383,3
24169713,2
2729058,4
33093717,2
1668043,4
3,10
35,8
14924984,3
20352551,3
3,10
53240497,2
2451911,4
12706383,3
0,0
59359446,2
187141,5
748,6
20352551,3
7008238,3
21457,5
65,8
21457,5
10442,6
20352551,3
748,6
25040155,2
187141,5
20352551,3
33093717,2
11480,5
20352551,3
33093717,2
3,10
748,6
0,0
20352551,3
70,8
7958221,3
59359446,2
20352551,3
0,0
3,10
0,0
0,0
19401872,3
71528810,2
20352551,3
0,0
0,0
851058,4
7008238,3
2729058,4
1221328,4
0,0
70,8
23745,5
1221328,4
7008238,3
0,0
150333509,1
2729058,4
851058,4
1221328,4
2451911,4
21457,5
1221328,4
20352551,3
3,10
47767343,2
1221328,4
21457,5
7008238,3
0,0
1911675,4
