,cantina
5250,1.0
5251,0.0
5252,1.0
5253,1.0
5254,0.0
5255,1.0
5256,1.0
5257,1.0
5258,1.0
5259,1.0
5260,1.0
5261,1.0
5262,1.0
5263,1.0
5264,1.0
5265,0.0
5266,1.0
5267,1.0
5268,1.0
5269,1.0
5270,1.0
5271,1.0
5272,1.0
5273,0.0
5274,1.0
5275,0.0
5276,1.0
5277,0.0
5278,1.0
5279,1.0
5280,1.0
5281,1.0
5282,1.0
5283,1.0
5284,1.0
5285,1.0
5286,1.0
5287,1.0
5288,1.0
5289,1.0
5290,1.0
5291,1.0
5292,1.0
5293,1.0
5294,1.0
5295,0.0
5296,1.0
5297,1.0
5298,1.0
5299,1.0
5300,1.0
5301,1.0
5302,0.0
5303,1.0
5304,1.0
5305,1.0
5306,1.0
5307,1.0
5308,1.0
5309,0.0
5310,1.0
5311,1.0
5312,1.0
5313,0.0
5314,1.0
5315,1.0
5316,1.0
5317,1.0
5318,1.0
5319,1.0
5320,1.0
5321,1.0
5322,0.0
5323,1.0
5324,1.0
5325,1.0
5326,1.0
5327,1.0
5328,1.0
5329,0.0
5330,1.0
5331,1.0
5332,1.0
5333,0.0
5334,1.0
5335,1.0
5336,1.0
5337,1.0
5338,1.0
5339,1.0
5340,0.0
5341,1.0
5342,1.0
5343,1.0
5344,1.0
5345,1.0
5346,1.0
5347,0.0
5348,1.0
5349,1.0
5350,1.0
5351,1.0
5352,1.0
5353,1.0
5354,1.0
5355,1.0
5356,0.0
5357,1.0
5358,1.0
5359,1.0
5360,0.0
5361,1.0
5362,1.0
5363,1.0
5364,1.0
5365,1.0
5366,1.0
5367,0.0
5368,1.0
5369,1.0
5370,1.0
5371,1.0
5372,1.0
5373,1.0
5374,1.0
5375,1.0
5376,1.0
5377,0.0
5378,1.0
5379,1.0
5380,0.0
5381,1.0
5382,1.0
5383,1.0
5384,1.0
5385,1.0
5386,0.0
5387,1.0
5388,1.0
5389,1.0
5390,1.0
5391,1.0
5392,1.0
5393,0.0
5394,0.0
5395,1.0
5396,1.0
5397,0.0
5398,1.0
5399,1.0
5400,0.0
5401,1.0
5402,1.0
5403,1.0
5404,1.0
5405,1.0
5406,1.0
5407,1.0
5408,1.0
5409,1.0
5410,0.0
5411,1.0
5412,0.0
5413,1.0
5414,1.0
5415,1.0
5416,1.0
5417,1.0
5418,1.0
5419,1.0
5420,1.0
5421,1.0
5422,0.0
5423,1.0
5424,1.0
5425,1.0
5426,1.0
5427,1.0
5428,1.0
5429,0.0
5430,1.0
5431,1.0
5432,1.0
5433,1.0
5434,1.0
5435,0.0
5436,1.0
5437,1.0
5438,1.0
5439,1.0
5440,0.0
5441,1.0
5442,1.0
5443,1.0
5444,1.0
5445,1.0
5446,1.0
5447,1.0
5448,1.0
5449,0.0
5450,1.0
5451,1.0
5452,0.0
5453,1.0
5454,1.0
5455,1.0
5456,1.0
5457,1.0
5458,1.0
5459,1.0
5460,0.0
5461,1.0
5462,1.0
5463,1.0
5464,1.0
5465,0.0
5466,1.0
5467,1.0
5468,0.0
5469,1.0
5470,1.0
5471,0.0
5472,1.0
5473,1.0
5474,1.0
5475,1.0
5476,1.0
5477,1.0
5478,1.0
5479,1.0
5480,1.0
5481,1.0
5482,1.0
5483,1.0
5484,1.0
5485,0.0
5486,1.0
5487,1.0
5488,1.0
5489,1.0
5490,0.0
5491,1.0
5492,1.0
5493,1.0
5494,0.0
5495,1.0
5496,1.0
5497,1.0
5498,1.0
5499,1.0
