html_hl_count_total,html_hl_ratio_int,html_hl_ratio_ext,html_hl_ratio_null,html_hl_a_total,html_hl_ratio_a_int,html_hl_ratio_a_ext,html_hl_ratio_a_null,html_hl_link_total,html_hl_ratio_link_int,html_hl_ratio_link_ext,html_hl_ratio_link_null,html_hl_src_other_total,html_hl_ratio_src_other_int,html_hl_ratio_src_other_ext,html_hl_ratio_src_other_null,html_hl_media_total,html_hl_ratio_media_int,html_hl_ratio_media_ext,html_hl_ratio_media_null,html_hl_form_total,html_hl_ratio_form_int,html_hl_ratio_form_ext,html_hl_ratio_form_null,html_hl_fav_total,html_hl_ratio_fav_int,html_hl_ratio_fav_ext,html_hl_ratio_fav_null,html_hl_css_total,html_hl_ratio_css_int,html_hl_ratio_css_ext,html_hl_ratio_css_null,html_hl_external_css,html_hl_external_favicon,html_hl_external_null_form,html_domain_titel,html_windows_status,html_form_ext_count_mail,html_prompt,html_unsafe_anchor,html_iframe_invisible,html_empty_title
7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
62.0,0.3064516129032258,0.41935483870967744,0.27419354838709675,31.0,0.5161290322580645,0.06451612903225806,0.41935483870967744,4.0,0.0,1.0,0.0,17.0,0.11764705882352941,0.8823529411764706,0.0,8.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
27.0,0.14814814814814814,0.8148148148148148,0.037037037037037035,23.0,0.0,0.9565217391304348,0.043478260869565216,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
11.0,0.09090909090909091,0.7272727272727273,0.18181818181818182,3.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
27.0,0.14814814814814814,0.8148148148148148,0.037037037037037035,23.0,0.0,0.9565217391304348,0.043478260869565216,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
378.0,0.4365079365079365,0.5608465608465608,0.0026455026455026454,241.0,0.12448132780082988,0.8713692946058091,0.004149377593360996,14.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,99.0,1.0,0.0,0.0,3.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0
14.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,4.0,0.0,0.0,1.0,2.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,1,0
19.0,0.47368421052631576,0.5263157894736842,0.0,5.0,0.2,0.8,0.0,3.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0,1,0,0
43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
110.0,0.2727272727272727,0.00909090909090909,0.7181818181818181,89.0,0.12359550561797752,0.0,0.8764044943820225,7.0,1.0,0.0,0.0,4.0,0.75,0.25,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0
