openpagerank,openpagescore
1,10
1,10
1,10
1,10
1,10
1,10
1,10
1,10
9808,6
9808,6
9808,6
9808,6
9808,6
9808,6
9808,6
9808,6
9808,6
9808,6
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
4,10
4,10
4,10
4,10
5,10
5,10
5,10
5,10
5,10
5,10
5,10
5,10
5,10
6,10
6,10
6,10
6,10
6,10
6,10
6,10
6,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
9808,6
9808,6
9808,6
9808,6
9808,6
9808,6
9808,6
9808,6
9808,6
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
15,9
15,9
15,9
15,9
15,9
15,9
15,9
15,9
15,9
15,9
58,8
58,8
58,8
58,8
58,8
58,8
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
527,6
527,6
527,6
527,6
527,6
527,6
527,6
527,6
527,6
527,6
20,9
20,9
20,9
20,9
20,9
20,9
20,9
20,9
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
24,9
24,9
24,9
24,9
24,9
24,9
24,9
24,9
24,9
24,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
30,8
30,8
30,8
30,8
30,8
30,8
30,8
30,8
30,8
30,8
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
36,8
36,8
36,8
36,8
36,8
36,8
36,8
36,8
36,8
36,8
37,8
37,8
37,8
37,8
38,8
38,8
38,8
38,8
38,8
38,8
38,8
38,8
38,8
38,8
39,8
39,8
39,8
39,8
39,8
39,8
39,8
39,8
39,8
40,8
40,8
40,8
1467,6
1467,6
1467,6
1467,6
1467,6
1467,6
1467,6
1467,6
259,7
259,7
259,7
259,7
259,7
259,7
259,7
259,7
259,7
43,8
43,8
43,8
44,8
44,8
44,8
44,8
44,8
44,8
45,8
45,8
45,8
45,8
45,8
45,8
30,8
30,8
30,8
30,8
30,8
30,8
30,8
30,8
30,8
30,8
66,8
66,8
66,8
66,8
66,8
66,8
66,8
66,8
66,8
66,8
66,8
66,8
66,8
66,8
66,8
66,8
66,8
50,8
50,8
50,8
50,8
9808,6
9808,6
9808,6
9808,6
9808,6
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
54,8
54,8
54,8
54,8
54,8
54,8
54,8
54,8
55,8
55,8
55,8
55,8
55,8
55,8
55,8
55,8
55,8
55,8
56,8
56,8
56,8
56,8
56,8
56,8
56,8
56,8
56,8
56,8
57,8
57,8
57,8
57,8
57,8
57,8
57,8
57,8
57,8
57,8
58,8
58,8
58,8
58,8
58,8
58,8
58,8
58,8
58,8
58,8
2678650,4
2678650,4
2678650,4
2678650,4
2678650,4
2678650,4
2678650,4
2678650,4
2678650,4
2678650,4
61,8
61,8
61,8
61,8
61,8
61,8
61,8
61,8
9808,6
9808,6
9808,6
9808,6
9808,6
9808,6
9808,6
9808,6
65,8
65,8
65,8
65,8
65,8
65,8
65,8
65,8
65,8
66,8
66,8
66,8
66,8
66,8
66,8
66,8
66,8
66,8
66,8
68,8
68,8
68,8
68,8
68,8
68,8
68,8
68,8
68,8
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
70,8
70,8
70,8
70,8
70,8
70,8
70,8
70,8
70,8
70,8
71,8
71,8
71,8
71,8
71,8
71,8
71,8
71,8
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
73,8
73,8
73,8
75,8
75,8
75,8
50,8
50,8
50,8
50,8
77,8
77,8
78,8
78,8
78,8
78,8
78,8
78,8
78,8
78,8
71,8
71,8
71,8
71,8
71,8
71,8
71,8
71,8
71,8
80,8
80,8
80,8
80,8
80,8
80,8
80,8
80,8
80,8
80,8
81,8
81,8
81,8
81,8
81,8
81,8
81,8
81,8
81,8
82,8
82,8
82,8
82,8
82,8
82,8
82,8
82,8
82,8
83,8
83,8
83,8
83,8
85,8
85,8
85,8
85,8
86,8
86,8
86,8
86,8
86,8
86,8
86,8
86,8
86,8
86,8
87,8
87,8
87,8
87,8
87,8
87,8
87,8
88,8
88,8
88,8
88,8
88,8
88,8
88,8
88,8
88,8
88,8
89,7
89,7
89,7
89,7
89,7
89,7
89,7
89,7
89,7
89,7
90,7
90,7
90,7
90,7
90,7
90,7
90,7
90,7
90,7
90,7
91,7
91,7
91,7
91,7
91,7
91,7
93,7
93,7
93,7
93,7
93,7
93,7
93,7
93,7
93,7
93,7
87,8
87,8
87,8
87,8
87,8
87,8
87,8
87,8
87,8
87,8
95,7
95,7
95,7
95,7
95,7
95,7
95,7
95,7
95,7
95,7
96,7
96,7
96,7
96,7
96,7
96,7
96,7
97,7
97,7
97,7
97,7
97,7
97,7
97,7
97,7
98,7
98,7
98,7
98,7
98,7
98,7
98,7
98,7
98,7
98,7
259,7
259,7
259,7
259,7
259,7
259,7
259,7
259,7
259,7
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
101,7
101,7
101,7
101,7
101,7
101,7
102,7
102,7
102,7
102,7
102,7
102,7
102,7
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
4235,6
4235,6
4235,6
4235,6
4235,6
4235,6
4235,6
4235,6
4235,6
4235,6
107,7
107,7
107,7
107,7
107,7
107,7
107,7
107,7
107,7
107,7
108,7
108,7
108,7
108,7
109,7
109,7
109,7
109,7
109,7
109,7
109,7
109,7
109,7
109,7
110,7
110,7
110,7
110,7
110,7
110,7
110,7
110,7
110,7
110,7
111,7
111,7
111,7
111,7
111,7
111,7
111,7
111,7
111,7
113,7
113,7
113,7
113,7
113,7
113,7
113,7
113,7
113,7
113,7
115,7
115,7
115,7
115,7
115,7
115,7
115,7
115,7
115,7
115,7
116,7
116,7
116,7
116,7
116,7
116,7
116,7
116,7
116,7
116,7
87,8
87,8
87,8
87,8
87,8
87,8
87,8
87,8
87,8
87,8
246151,5
246151,5
246151,5
246151,5
246151,5
120,7
120,7
120,7
120,7
120,7
120,7
120,7
120,7
121,7
121,7
121,7
121,7
121,7
121,7
121,7
121,7
122,7
122,7
122,7
122,7
122,7
122,7
122,7
122,7
122,7
122,7
123,7
123,7
123,7
123,7
123,7
123,7
123,7
123,7
124,7
124,7
124,7
124,7
124,7
124,7
124,7
124,7
124,7
126,7
126,7
126,7
126,7
126,7
126,7
126,7
126,7
126,7
126,7
128,7
128,7
128,7
128,7
128,7
129,7
129,7
129,7
129,7
129,7
129,7
129,7
129,7
129,7
56996,5
131,7
131,7
131,7
131,7
131,7
131,7
131,7
131,7
131,7
132,7
132,7
132,7
132,7
132,7
132,7
132,7
132,7
133,7
133,7
133,7
133,7
133,7
133,7
133,7
133,7
133,7
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
28,8
168,7
168,7
168,7
168,7
168,7
139,7
139,7
139,7
139,7
139,7
139,7
139,7
139,7
139,7
139,7
140,7
140,7
140,7
140,7
140,7
140,7
140,7
140,7
140,7
140,7
141,7
141,7
141,7
141,7
141,7
141,7
141,7
141,7
141,7
141,7
142,7
142,7
142,7
142,7
142,7
142,7
142,7
142,7
142,7
142,7
144,7
144,7
144,7
144,7
144,7
144,7
144,7
144,7
144,7
145,7
145,7
145,7
145,7
145,7
145,7
145,7
145,7
145,7
145,7
146,7
146,7
146,7
146,7
146,7
146,7
146,7
146,7
146,7
30535,5
30535,5
30535,5
30535,5
30535,5
30535,5
30535,5
30535,5
30535,5
30535,5
148,7
148,7
148,7
148,7
148,7
148,7
148,7
148,7
148,7
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
3,10
150,7
150,7
150,7
150,7
150,7
150,7
150,7
150,7
150,7
150,7
