,cantina
4750,1.0
4751,1.0
4752,1.0
4753,1.0
4754,0.0
4755,1.0
4756,1.0
4757,1.0
4758,1.0
4759,1.0
4760,1.0
4761,0.0
4762,1.0
4763,0.0
4764,1.0
4765,1.0
4766,1.0
4767,1.0
4768,1.0
4769,1.0
4770,1.0
4771,1.0
4772,1.0
4773,1.0
4774,0.0
4775,1.0
4776,1.0
4777,1.0
4778,1.0
4779,1.0
4780,0.0
4781,0.0
4782,1.0
4783,1.0
4784,1.0
4785,1.0
4786,1.0
4787,1.0
4788,0.0
4789,0.0
4790,1.0
4791,1.0
4792,0.0
4793,0.0
4794,1.0
4795,1.0
4796,1.0
4797,0.0
4798,1.0
4799,1.0
4800,1.0
4801,1.0
4802,1.0
4803,1.0
4804,0.0
4805,1.0
4806,1.0
4807,1.0
4808,1.0
4809,1.0
4810,1.0
4811,0.0
4812,1.0
4813,0.0
4814,1.0
4815,0.0
4816,1.0
4817,1.0
4818,1.0
4819,1.0
4820,1.0
4821,1.0
4822,1.0
4823,1.0
4824,1.0
4825,1.0
4826,0.0
4827,0.0
4828,1.0
4829,1.0
4830,1.0
4831,1.0
4832,0.0
4833,1.0
4834,1.0
4835,1.0
4836,1.0
4837,1.0
4838,1.0
4839,0.0
4840,1.0
4841,0.0
4842,1.0
4843,1.0
4844,1.0
4845,1.0
4846,1.0
4847,1.0
4848,1.0
4849,0.0
4850,1.0
4851,1.0
4852,1.0
4853,0.0
4854,1.0
4855,0.0
4856,1.0
4857,1.0
4858,1.0
4859,1.0
4860,0.0
4861,1.0
4862,1.0
4863,1.0
4864,1.0
4865,1.0
4866,1.0
4867,1.0
4868,0.0
4869,0.0
4870,1.0
4871,0.0
4872,1.0
4873,1.0
4874,1.0
4875,1.0
4876,0.0
4877,1.0
4878,1.0
4879,1.0
4880,1.0
4881,1.0
4882,1.0
4883,1.0
4884,1.0
4885,0.0
4886,1.0
4887,1.0
4888,1.0
4889,1.0
4890,0.0
4891,1.0
4892,1.0
4893,1.0
4894,1.0
4895,1.0
4896,1.0
4897,1.0
4898,1.0
4899,1.0
4900,1.0
4901,1.0
4902,1.0
4903,1.0
4904,1.0
4905,1.0
4906,1.0
4907,0.0
4908,1.0
4909,1.0
4910,1.0
4911,0.0
4912,1.0
4913,1.0
4914,1.0
4915,1.0
4916,1.0
4917,1.0
4918,1.0
4919,1.0
4920,1.0
4921,0.0
4922,1.0
4923,1.0
4924,0.0
4925,1.0
4926,0.0
4927,1.0
4928,1.0
4929,1.0
4930,1.0
4931,1.0
4932,1.0
4933,1.0
4934,1.0
4935,1.0
4936,0.0
4937,1.0
4938,1.0
4939,1.0
4940,0.0
4941,1.0
4942,1.0
4943,1.0
4944,1.0
4945,0.0
4946,0.0
4947,1.0
4948,0.0
4949,0.0
4950,1.0
4951,1.0
4952,1.0
4953,1.0
4954,1.0
4955,1.0
4956,1.0
4957,1.0
4958,1.0
4959,1.0
4960,1.0
4961,1.0
4962,0.0
4963,1.0
4964,1.0
4965,0.0
4966,1.0
4967,1.0
4968,1.0
4969,1.0
4970,1.0
4971,1.0
4972,1.0
4973,1.0
4974,1.0
4975,1.0
4976,1.0
4977,1.0
4978,1.0
4979,1.0
4980,1.0
4981,0.0
4982,1.0
4983,1.0
4984,1.0
4985,1.0
4986,1.0
4987,1.0
4988,1.0
4989,1.0
4990,1.0
4991,0.0
4992,1.0
4993,1.0
4994,0.0
4995,1.0
4996,0.0
4997,1.0
4998,0.0
4999,1.0
