html_hl_count_total,html_hl_ratio_int,html_hl_ratio_ext,html_hl_ratio_null,html_hl_a_total,html_hl_ratio_a_int,html_hl_ratio_a_ext,html_hl_ratio_a_null,html_hl_link_total,html_hl_ratio_link_int,html_hl_ratio_link_ext,html_hl_ratio_link_null,html_hl_src_other_total,html_hl_ratio_src_other_int,html_hl_ratio_src_other_ext,html_hl_ratio_src_other_null,html_hl_media_total,html_hl_ratio_media_int,html_hl_ratio_media_ext,html_hl_ratio_media_null,html_hl_form_total,html_hl_ratio_form_int,html_hl_ratio_form_ext,html_hl_ratio_form_null,html_hl_fav_total,html_hl_ratio_fav_int,html_hl_ratio_fav_ext,html_hl_ratio_fav_null,html_hl_css_total,html_hl_ratio_css_int,html_hl_ratio_css_ext,html_hl_ratio_css_null,html_hl_external_css,html_hl_external_favicon,html_hl_external_null_form,html_domain_titel,html_windows_status,html_form_ext_count_mail,html_prompt,html_unsafe_anchor,html_iframe_invisible,html_empty_title
173.0,0.8208092485549133,0.16184971098265896,0.017341040462427744,139.0,0.8345323741007195,0.14388489208633093,0.02158273381294964,8.0,0.75,0.25,0.0,7.0,0.42857142857142855,0.5714285714285714,0.0,10.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
298.0,0.889261744966443,0.05704697986577181,0.053691275167785234,253.0,0.9090909090909091,0.02766798418972332,0.06324110671936758,15.0,1.0,0.0,0.0,15.0,0.5333333333333333,0.4666666666666667,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
172.0,0.6162790697674418,0.3546511627906977,0.029069767441860465,96.0,0.375,0.5729166666666666,0.052083333333333336,23.0,0.8695652173913043,0.13043478260869565,0.0,8.0,1.0,0.0,0.0,31.0,0.967741935483871,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,11.0,0.8181818181818182,0.18181818181818182,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
195.0,0.9128205128205128,0.08205128205128205,0.005128205128205128,120.0,0.8916666666666667,0.1,0.008333333333333333,31.0,0.967741935483871,0.03225806451612903,0.0,11.0,0.8181818181818182,0.18181818181818182,0.0,20.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,7.0,0.8571428571428571,0.14285714285714285,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
308.0,0.9805194805194806,0.016233766233766232,0.003246753246753247,46.0,0.9565217391304348,0.043478260869565216,0.0,12.0,0.8333333333333334,0.16666666666666666,0.0,20.0,0.95,0.05,0.0,225.0,0.9955555555555555,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
235.0,0.9319148936170213,0.05531914893617021,0.00851063829787234,116.0,0.8879310344827587,0.11206896551724138,0.0,12.0,0.9166666666666666,0.0,0.0,7.0,1.0,0.0,0.0,94.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.75,0.0,0.25,0.0,0.0,1.0,0,0,0,0,1,0,0
113.0,0.8761061946902655,0.12389380530973451,0.0,85.0,0.9176470588235294,0.08235294117647059,0.0,6.0,0.8333333333333334,0.16666666666666666,0.0,12.0,0.5833333333333334,0.4166666666666667,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.8,0.2,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
6.0,0.8333333333333334,0.16666666666666666,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
131.0,0.9465648854961832,0.05343511450381679,0.0,57.0,0.8947368421052632,0.10526315789473684,0.0,50.0,1.0,0.0,0.0,8.0,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
22.0,0.8181818181818182,0.18181818181818182,0.0,6.0,0.5,0.5,0.0,4.0,1.0,0.0,0.0,6.0,0.8333333333333334,0.16666666666666666,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
